Player,Age,Nat.,Club,Market value,minutes_played,goals,assists,position,foot,height_in_cm,overall,potential,total_gk,total_stats,pace,shooting,passing,dribbling,defending,physical,cost
Alan Matturro,19,Uruguay,Genoa CFC,4.0,284.0,0.0,0.0,Defender,left,189.0,65.0,82.0,51.0,1522.0,68.0,30.0,50.0,53.0,66.0,65.0,1.7
Bénie Traoré,21,Cote d'Ivoire,FC Basel 1893,4.0,929.0,0.0,1.0,Attack,right,172.0,68.0,77.0,48.0,1701.0,86.0,65.0,54.0,75.0,32.0,63.0,2.7
Ayman Kari,19,France,Paris Saint-Germain,4.0,993.0,1.0,1.0,Midfield,right,176.0,68.0,82.0,62.0,1805.0,70.0,53.0,66.0,73.0,59.0,65.0,2.8
Mika Godts,19,Belgium,Ajax Amsterdam,4.0,641.0,0.0,3.0,Attack,right,176.0,66.0,84.0,53.0,1677.0,77.0,58.0,61.0,74.0,39.0,54.0,2.2
Nazar Voloshyn,21,Ukraine,Dynamo Kyiv,4.0,3559.0,16.0,8.0,Attack,right,175.0,66.0,80.0,56.0,1559.0,68.0,60.0,61.0,66.0,28.0,50.0,2.1
Tim Iroegbunam,21,England,Everton FC,4.0,258.0,0.0,0.0,Midfield,right,183.0,69.0,81.0,49.0,1819.0,66.0,58.0,64.0,68.0,66.0,71.0,3.2
Tim Oermann,20,Germany,VfL Bochum,4.0,901.0,0.0,0.0,Defender,right,189.0,68.0,77.0,44.0,1567.0,67.0,34.0,54.0,58.0,68.0,68.0,2.4
Dorgeles Nene,21,Mali,Red Bull Salzburg,4.0,1484.0,8.0,4.0,Attack,right,174.0,67.0,76.0,35.0,1763.0,85.0,70.0,61.0,72.0,37.0,54.0,2.3
Tom Cannon,21,Ireland,Leicester City,4.0,300.0,1.0,1.0,Attack,right,180.0,69.0,77.0,45.0,1691.0,79.0,69.0,56.0,72.0,27.0,59.0,3.1
Jacob Ondrejka,21,Sweden,Royal Antwerp FC,4.0,839.0,5.0,2.0,Attack,right,180.0,70.0,79.0,55.0,1845.0,79.0,64.0,68.0,72.0,46.0,60.0,3.5
Gabriel Slonina,20,United States,Barnsley FC,4.0,2520.0,0.0,0.0,Goalkeeper,right,193.0,68.0,81.0,330.0,1105.0,69.0,64.0,63.0,69.0,45.0,65.0,2.5
Emin Bayram,21,Türkiye,KVC Westerlo,4.0,2643.0,1.0,2.0,Defender,right,192.0,67.0,78.0,50.0,1605.0,63.0,31.0,55.0,63.0,68.0,69.0,2.1
Cher Ndour,20,Italy,Besiktas JK,4.0,310.0,1.0,0.0,Midfield,both,190.0,68.0,82.0,54.0,1774.0,55.0,61.0,68.0,68.0,57.0,70.0,2.8
Rav van den Berg,20,Netherlands,Middlesbrough FC,4.0,583.0,1.0,0.0,Defender,right,191.0,67.0,84.0,50.0,1536.0,66.0,32.0,50.0,59.0,67.0,68.0,2.4
Shola Shoretire,20,England,PAOK Thessaloniki,4.0,61.0,0.0,0.0,Midfield,both,171.0,62.0,79.0,36.0,1609.0,73.0,54.0,57.0,67.0,37.0,54.0,1.0
Calvin Ramsay,21,Scotland,Wigan Athletic,4.0,2427.0,1.0,9.0,Defender,right,177.0,65.0,79.0,47.0,1695.0,76.0,43.0,60.0,66.0,56.0,66.0,1.6
Gaetano Oristanio,21,Italy,Venezia FC,4.0,3225.0,3.0,4.0,Midfield,left,174.0,71.0,84.0,41.0,1896.0,87.0,66.0,69.0,76.0,49.0,60.0,4.5
Mattia Zanotti,21,Italy,FC Lugano,4.0,26.0,0.0,0.0,Defender,right,177.0,71.0,82.0,46.0,1942.0,78.0,59.0,69.0,70.0,68.0,70.0,3.9
Armindo Sieb,21,Germany,1.FSV Mainz 05,4.0,26.0,0.0,0.0,Attack,both,175.0,69.0,79.0,56.0,1689.0,87.0,65.0,55.0,74.0,26.0,64.0,3.1
Christopher Bonsu Baah,19,Ghana,KRC Genk,3.5,1308.0,1.0,1.0,Attack,left,172.0,69.0,81.0,38.0,1670.0,85.0,63.0,59.0,77.0,29.0,57.0,3.2
Óscar Cortés,20,Colombia,Rangers FC,3.5,419.0,2.0,3.0,Attack,right,178.0,69.0,80.0,43.0,1780.0,78.0,66.0,65.0,71.0,48.0,53.0,3.0
Tom Bischof,19,Germany,TSG 1899 Hoffenheim,3.5,531.0,0.0,2.0,Midfield,left,176.0,67.0,86.0,53.0,1651.0,61.0,55.0,65.0,72.0,43.0,50.0,2.6
Cihan Çanak,19,Türkiye,Trabzonspor,3.5,1470.0,1.0,5.0,Attack,left,175.0,66.0,81.0,46.0,1690.0,80.0,58.0,64.0,75.0,39.0,50.0,2.0
Joel Mvuka,21,Norway,FC Lorient,3.5,279.0,0.0,0.0,Attack,right,176.0,69.0,78.0,56.0,1697.0,89.0,57.0,59.0,74.0,41.0,46.0,3.1
Jay Stansfield,21,England,Fulham FC,3.5,585.0,1.0,2.0,Attack,right,187.0,67.0,79.0,43.0,1689.0,79.0,69.0,59.0,68.0,26.0,64.0,2.5
Alan Virginius,21,France,BSC Young Boys,3.5,1261.0,1.0,3.0,Attack,right,180.0,68.0,80.0,59.0,1586.0,90.0,59.0,59.0,71.0,27.0,40.0,2.9
Samuele Vignato,20,Italy,AC Monza,3.5,487.0,1.0,1.0,Midfield,right,172.0,65.0,81.0,48.0,1606.0,72.0,59.0,60.0,74.0,34.0,42.0,1.9
Myron van Brederode,21,Netherlands,AZ Alkmaar,3.5,2943.0,7.0,5.0,Attack,right,174.0,69.0,79.0,53.0,1642.0,68.0,58.0,60.0,79.0,32.0,54.0,3.0
Adam Obert,21,Slovakia,Cagliari Calcio,3.5,1677.0,0.0,1.0,Defender,left,188.0,68.0,78.0,50.0,1719.0,68.0,41.0,60.0,64.0,69.0,67.0,2.5
Youri Regeer,21,Netherlands,Twente Enschede FC,3.5,2017.0,2.0,2.0,Midfield,right,177.0,70.0,81.0,57.0,1865.0,75.0,57.0,68.0,71.0,66.0,67.0,3.3
Nathan Ngoy,21,Belgium,Standard Liège,3.5,2100.0,1.0,0.0,Defender,right,183.0,66.0,77.0,54.0,1621.0,78.0,44.0,49.0,61.0,65.0,71.0,1.8
Paul Nebel,21,Germany,1.FSV Mainz 05,3.5,319.0,0.0,2.0,Attack,both,169.0,71.0,80.0,45.0,1702.0,74.0,62.0,66.0,76.0,30.0,58.0,4.1
Mahamadou Diawara,19,France,Olympique Lyon,3.0,355.0,0.0,0.0,Midfield,left,187.0,67.0,81.0,37.0,1752.0,69.0,55.0,65.0,67.0,61.0,69.0,2.4
Ngal'ayel Mukau,19,DR Congo,LOSC Lille,3.0,1326.0,0.0,0.0,Midfield,left,188.0,66.0,80.0,52.0,1641.0,64.0,40.0,55.0,64.0,66.0,64.0,1.9
Gustavo Puerta,21,Colombia,Bayer 04 Leverkusen,3.0,229.0,0.0,0.0,Midfield,right,173.0,65.0,79.0,54.0,1706.0,65.0,58.0,62.0,64.0,59.0,60.0,1.7
Lovro Zvonarek,19,Croatia,SK Sturm Graz,3.0,161.0,1.0,0.0,Midfield,right,180.0,64.0,78.0,51.0,1600.0,69.0,57.0,62.0,68.0,34.0,52.0,1.4
Matija Frigan,21,Croatia,KVC Westerlo,3.0,1006.0,4.0,1.0,Attack,left,185.0,69.0,79.0,43.0,1791.0,79.0,68.0,59.0,68.0,36.0,74.0,3.1
Gino Infantino,21,Argentina,ACF Fiorentina,3.0,185.0,0.0,0.0,Midfield,left,178.0,67.0,79.0,44.0,1751.0,75.0,61.0,64.0,71.0,48.0,59.0,2.5
Tygo Land,18,Netherlands,PSV Eindhoven,3.0,19.0,0.0,1.0,Midfield,right,178.0,62.0,84.0,57.0,1691.0,74.0,50.0,64.0,71.0,52.0,43.0,1.2
Mayckel Lahdo,21,Sweden,AZ Alkmaar,3.0,1829.0,10.0,7.0,Attack,right,171.0,68.0,79.0,56.0,1619.0,82.0,64.0,59.0,73.0,27.0,54.0,2.6
Tom Louchet,21,France,OGC Nice,3.0,399.0,1.0,2.0,Midfield,both,178.0,66.0,77.0,51.0,1794.0,70.0,60.0,64.0,69.0,60.0,61.0,1.9
Joseph Nonge,19,Belgium,Juventus Next Gen,3.0,49.0,0.0,0.0,Midfield,left,184.0,64.0,81.0,46.0,1768.0,68.0,49.0,64.0,66.0,64.0,60.0,1.5
Lucas Noubi,19,Belgium,Standard Liège,3.0,1391.0,0.0,0.0,Defender,right,184.0,66.0,81.0,52.0,1532.0,75.0,21.0,52.0,64.0,63.0,74.0,1.9
Emirhan İlkhan,20,Türkiye,Torino FC,3.0,1864.0,2.0,2.0,Midfield,right,175.0,64.0,79.0,55.0,1686.0,66.0,58.0,63.0,70.0,50.0,48.0,1.4
Jhon Solís,19,Colombia,Girona FC,3.0,690.0,0.0,1.0,Midfield,right,186.0,69.0,80.0,52.0,1819.0,64.0,61.0,63.0,65.0,66.0,74.0,2.9
Giuliano Simeone,21,Argentina,Atlético de Madrid,3.0,719.0,1.0,2.0,Attack,right,173.0,72.0,82.0,55.0,1796.0,82.0,69.0,58.0,70.0,26.0,79.0,5.0
Lucas Hey,21,Denmark,FC Nordsjaelland,3.0,2504.0,0.0,0.0,Defender,right,189.0,65.0,79.0,46.0,1610.0,62.0,41.0,55.0,60.0,65.0,65.0,1.6
Andrew Moran,20,Ireland,Stoke City,3.0,505.0,2.0,3.0,Midfield,right,177.0,67.0,80.0,69.0,1739.0,76.0,58.0,66.0,71.0,39.0,55.0,2.4
Matias Fernandez-Pardo,19,Belgium,KAA Gent,3.0,260.0,1.0,0.0,Attack,right,183.0,62.0,78.0,50.0,1560.0,75.0,58.0,59.0,67.0,28.0,51.0,1.0
Dexter Lembikisa,20,Jamaica,Wolverhampton Wanderers U21,3.0,1176.0,1.0,0.0,Defender,right,180.0,64.0,73.0,45.0,1614.0,83.0,43.0,54.0,60.0,59.0,59.0,1.2
Anton Gaaei,21,Denmark,Ajax Amsterdam,3.0,4030.0,2.0,9.0,Defender,right,183.0,67.0,78.0,50.0,1724.0,84.0,48.0,57.0,65.0,59.0,67.0,2.1
Aljoscha Kemlein,20,Germany,1.FC Union Berlin,3.0,108.0,0.0,0.0,Midfield,right,185.0,66.0,78.0,53.0,1738.0,60.0,57.0,63.0,65.0,62.0,63.0,1.9
Robert Wagner,21,Germany,FC St. Pauli,3.0,124.0,0.0,0.0,Midfield,right,181.0,69.0,82.0,57.0,1730.0,68.0,45.0,66.0,69.0,60.0,70.0,3.3
Jude Bellingham,21,England,Real Madrid,180.0,13820.0,47.0,38.0,Midfield,right,186.0,88.0,92.0,48.0,2295.0,80.0,83.0,81.0,87.0,78.0,83.0,128.5
Florian Wirtz,21,Germany,Bayer 04 Leverkusen,130.0,10929.0,41.0,50.0,Midfield,right,177.0,87.0,92.0,57.0,2089.0,80.0,76.0,86.0,88.0,50.0,63.0,118.5
Jamal Musiala,21,Germany,Bayern Munich,130.0,9175.0,43.0,31.0,Midfield,right,184.0,86.0,93.0,42.0,2090.0,85.0,75.0,76.0,91.0,63.0,61.0,134.5
Eduardo Camavinga,21,France,Real Madrid,100.0,13733.0,4.0,13.0,Midfield,left,182.0,83.0,90.0,50.0,2197.0,80.0,67.0,81.0,84.0,78.0,80.0,71.5
Xavi Simons,21,Netherlands,RB Leipzig,80.0,7397.0,32.0,27.0,Midfield,right,179.0,82.0,89.0,43.0,2139.0,87.0,77.0,78.0,85.0,61.0,74.0,60.5
Rasmus Højlund,21,Denmark,Manchester United,65.0,5388.0,27.0,6.0,Attack,left,191.0,78.0,89.0,50.0,1869.0,84.0,77.0,58.0,74.0,33.0,83.0,31.0
Warren Zaïre-Emery,18,France,Paris Saint-Germain,60.0,3956.0,5.0,6.0,Midfield,right,178.0,80.0,90.0,55.0,2113.0,79.0,68.0,76.0,79.0,75.0,78.0,43.5
Kobbie Mainoo,19,England,Manchester United,55.0,2492.0,5.0,1.0,Midfield,right,180.0,72.0,87.0,49.0,1923.0,74.0,60.0,68.0,77.0,68.0,69.0,5.0
Leny Yoro,18,France,Manchester United,50.0,3610.0,3.0,0.0,Defender,right,190.0,77.0,86.0,53.0,1740.0,73.0,41.0,58.0,61.0,78.0,73.0,20.0
Bradley Barcola,21,France,Paris Saint-Germain,50.0,3908.0,10.0,20.0,Attack,right,182.0,80.0,87.0,43.0,1925.0,86.0,74.0,75.0,80.0,34.0,64.0,42.0
Evan Ferguson,19,Ireland,Brighton & Hove Albion,50.0,3143.0,16.0,5.0,Attack,right,188.0,74.0,86.0,54.0,1729.0,72.0,74.0,62.0,70.0,21.0,70.0,10.0
Levi Colwill,21,England,Chelsea FC,50.0,4049.0,1.0,3.0,Defender,left,187.0,76.0,83.0,61.0,1841.0,72.0,40.0,68.0,68.0,76.0,76.0,14.0
Arda Güler,19,Türkiye,Real Madrid,45.0,2030.0,14.0,8.0,Attack,left,175.0,77.0,88.0,58.0,1964.0,72.0,70.0,80.0,82.0,52.0,50.0,22.0
Giorgio Scalvini,20,Italy,Atalanta BC,45.0,6569.0,5.0,5.0,Defender,right,194.0,77.0,87.0,45.0,1672.0,64.0,35.0,57.0,61.0,78.0,74.0,21.0
Pape Matar Sarr,21,Senegal,Tottenham Hotspur,45.0,6290.0,7.0,7.0,Midfield,right,184.0,78.0,84.0,52.0,2030.0,70.0,65.0,75.0,78.0,74.0,75.0,21.5
Johan Bakayoko,21,Belgium,PSV Eindhoven,45.0,5718.0,21.0,19.0,Attack,left,179.0,78.0,88.0,43.0,1837.0,87.0,69.0,69.0,81.0,31.0,64.0,31.0
Destiny Udogie,21,Italy,Tottenham Hotspur,45.0,8283.0,10.0,10.0,Defender,left,188.0,81.0,86.0,57.0,2104.0,88.0,65.0,73.0,79.0,76.0,80.0,35.5
Ousmane Diomande,20,Cote d'Ivoire,Sporting CP,40.0,4222.0,5.0,1.0,Defender,right,190.0,78.0,86.0,41.0,1696.0,74.0,26.0,53.0,73.0,77.0,83.0,28.5
Mathys Tel,19,France,Bayern Munich,40.0,2056.0,16.0,6.0,Attack,right,183.0,75.0,88.0,54.0,1830.0,82.0,78.0,64.0,77.0,28.0,60.0,13.0
Castello Lukeba,21,France,RB Leipzig,40.0,8590.0,5.0,0.0,Defender,left,184.0,79.0,86.0,56.0,1889.0,74.0,43.0,68.0,72.0,80.0,77.0,32.0
Rico Lewis,19,England,Manchester City,38.0,3036.0,3.0,4.0,Defender,right,169.0,75.0,86.0,55.0,1880.0,76.0,46.0,73.0,79.0,70.0,59.0,11.5
Elye Wahi,21,France,Olympique Marseille,35.0,7163.0,44.0,13.0,Attack,right,181.0,77.0,84.0,51.0,1919.0,84.0,79.0,67.0,79.0,31.0,67.0,21.0
Malo Gusto,21,France,Chelsea FC,35.0,6402.0,0.0,15.0,Defender,right,178.0,78.0,86.0,49.0,1984.0,87.0,49.0,72.0,77.0,71.0,75.0,29.5
Harvey Elliott,21,England,Liverpool FC,35.0,5876.0,10.0,13.0,Midfield,left,170.0,77.0,85.0,47.0,1940.0,75.0,67.0,76.0,81.0,53.0,57.0,23.0
Tino Livramento,21,England,Newcastle United,35.0,4333.0,2.0,3.0,Defender,right,182.0,77.0,85.0,56.0,1948.0,81.0,50.0,68.0,78.0,74.0,72.0,22.0
Désiré Doué,19,France,Paris Saint-Germain,30.0,3297.0,8.0,6.0,Attack,both,181.0,74.0,85.0,46.0,1855.0,78.0,68.0,69.0,80.0,48.0,63.0,9.0
Jorrel Hato,18,Netherlands,Ajax Amsterdam,30.0,4546.0,1.0,3.0,Defender,left,182.0,73.0,88.0,40.0,1820.0,85.0,39.0,66.0,71.0,73.0,69.0,6.5
Kenan Yıldız,19,Türkiye,Juventus FC,30.0,1086.0,4.0,1.0,Attack,both,187.0,66.0,83.0,56.0,1675.0,75.0,58.0,65.0,72.0,28.0,61.0,2.2
Aleksandar Pavlovic,20,Germany,Bayern Munich,30.0,1435.0,2.0,2.0,Midfield,both,188.0,70.0,84.0,46.0,1777.0,62.0,55.0,69.0,69.0,67.0,61.0,3.6
Adam Wharton,20,England,Crystal Palace,30.0,1560.0,0.0,3.0,Midfield,left,182.0,76.0,85.0,47.0,2009.0,68.0,61.0,77.0,76.0,71.0,70.0,15.0
Bilal El Khannouss,20,Morocco,KRC Genk,30.0,4915.0,4.0,9.0,Midfield,right,180.0,74.0,86.0,53.0,1764.0,71.0,60.0,75.0,80.0,37.0,54.0,10.0
Maximilian Beier,21,Germany,Borussia Dortmund,30.0,2784.0,18.0,4.0,Attack,right,185.0,76.0,84.0,41.0,1813.0,91.0,76.0,63.0,78.0,25.0,58.0,16.5
Hugo Larsson,20,Sweden,Eintracht Frankfurt,28.0,2063.0,2.0,2.0,Midfield,right,187.0,73.0,85.0,48.0,1896.0,76.0,62.0,66.0,73.0,64.0,75.0,7.0
Arthur Vermeeren,19,Belgium,Atlético de Madrid,25.0,4511.0,2.0,7.0,Midfield,right,180.0,76.0,87.0,45.0,1952.0,75.0,55.0,75.0,77.0,71.0,69.0,15.0
Michael Kayode,20,Italy,ACF Fiorentina,25.0,2489.0,1.0,2.0,Defender,right,179.0,66.0,82.0,53.0,1593.0,69.0,34.0,50.0,65.0,67.0,60.0,2.1
Lesley Ugochukwu,20,France,Southampton FC,25.0,2947.0,1.0,1.0,Midfield,right,190.0,72.0,82.0,57.0,1917.0,65.0,57.0,69.0,71.0,72.0,75.0,5.0
Matías Soulé,21,Argentina,AS Roma,25.0,3802.0,12.0,3.0,Attack,left,182.0,76.0,87.0,63.0,1869.0,76.0,69.0,74.0,81.0,36.0,50.0,16.5
Oscar Bobb,21,Norway,Manchester City,25.0,819.0,2.0,2.0,Attack,left,175.0,68.0,82.0,55.0,1656.0,80.0,61.0,63.0,74.0,33.0,42.0,2.9
Rayan Cherki,21,France,Olympique Lyon,25.0,5158.0,8.0,19.0,Midfield,both,180.0,74.0,84.0,43.0,1749.0,68.0,67.0,72.0,84.0,21.0,61.0,9.0
Carlos Baleba,20,Cameroon,Brighton & Hove Albion,22.0,2015.0,0.0,2.0,Midfield,left,179.0,70.0,82.0,52.0,1839.0,77.0,51.0,63.0,72.0,65.0,70.0,3.6
Lewis Miley,18,England,Newcastle United,22.0,1743.0,1.0,4.0,Midfield,right,189.0,70.0,85.0,45.0,1815.0,63.0,61.0,69.0,72.0,60.0,65.0,3.6
Jarell Quansah,21,England,Liverpool FC,22.0,2494.0,3.0,3.0,Defender,right,190.0,72.0,82.0,44.0,1685.0,73.0,33.0,56.0,65.0,72.0,75.0,4.8
Yunus Musah,21,United States,AC Milan,22.0,6229.0,3.0,5.0,Midfield,right,178.0,75.0,83.0,51.0,2095.0,88.0,69.0,71.0,80.0,71.0,84.0,12.5
Youssoufa Moukoko,19,Germany,Borussia Dortmund,22.0,3162.0,18.0,8.0,Attack,left,179.0,77.0,87.0,60.0,1857.0,80.0,75.0,59.0,80.0,34.0,65.0,22.5
Alex Scott,21,England,AFC Bournemouth,20.0,1384.0,2.0,4.0,Midfield,right,178.0,72.0,84.0,54.0,1962.0,74.0,62.0,72.0,77.0,63.0,68.0,5.5
Milos Kerkez,20,Hungary,AFC Bournemouth,20.0,5706.0,3.0,5.0,Defender,left,180.0,75.0,85.0,57.0,1925.0,82.0,53.0,66.0,73.0,69.0,74.0,11.5
Brajan Gruda,20,Germany,Brighton & Hove Albion,20.0,1742.0,4.0,3.0,Attack,left,178.0,70.0,86.0,50.0,1793.0,78.0,68.0,65.0,77.0,30.0,58.0,4.1
Jhon Durán,20,Colombia,Aston Villa,20.0,786.0,6.0,0.0,Attack,left,185.0,72.0,82.0,36.0,1756.0,79.0,72.0,58.0,71.0,32.0,77.0,5.0
Facundo Buonanotte,19,Argentina,Leicester City,18.0,2493.0,5.0,2.0,Midfield,left,174.0,71.0,82.0,47.0,1678.0,75.0,65.0,68.0,73.0,25.0,50.0,4.0
Ernest Nuamah,20,Ghana,Olympique Lyon,18.0,4287.0,18.0,7.0,Attack,left,178.0,74.0,84.0,52.0,1745.0,85.0,67.0,63.0,79.0,24.0,62.0,9.0
Guillaume Restes,19,France,FC Toulouse,18.0,3870.0,0.0,0.0,Goalkeeper,left,188.0,75.0,87.0,374.0,1100.0,76.0,72.0,75.0,78.0,36.0,73.0,11.5
Habib Diarra,20,Senegal,RC Strasbourg Alsace,18.0,4048.0,6.0,4.0,Midfield,right,178.0,72.0,84.0,42.0,1909.0,69.0,63.0,69.0,73.0,68.0,71.0,5.5
Farès Chaïbi,21,Algeria,Eintracht Frankfurt,18.0,4496.0,7.0,12.0,Midfield,right,183.0,76.0,86.0,58.0,2027.0,73.0,69.0,76.0,74.0,68.0,71.0,16.5
Lewis Hall,19,England,Newcastle United,18.0,1790.0,2.0,0.0,Defender,left,179.0,68.0,83.0,53.0,1860.0,71.0,59.0,69.0,71.0,65.0,57.0,2.7
James Trafford,21,England,Burnley FC,18.0,2520.0,0.0,0.0,Goalkeeper,right,197.0,71.0,84.0,351.0,1034.0,70.0,69.0,69.0,73.0,27.0,70.0,4.0
Arsen Zakharyan,21,Russia,Real Sociedad,18.0,8702.0,20.0,27.0,Midfield,right,183.0,74.0,85.0,60.0,1938.0,79.0,70.0,74.0,72.0,53.0,60.0,9.5
Zeno Debast,20,Belgium,Sporting CP,18.0,6073.0,0.0,1.0,Defender,right,191.0,73.0,84.0,38.0,1859.0,66.0,53.0,70.0,69.0,73.0,73.0,6.0
Giovanni Reyna,21,United States,Borussia Dortmund,18.0,5363.0,17.0,18.0,Midfield,right,185.0,78.0,84.0,56.0,1934.0,77.0,73.0,74.0,82.0,37.0,69.0,22.0
Yankuba Minteh,20,The Gambia,Brighton & Hove Albion,16.0,2627.0,13.0,9.0,Attack,left,180.0,72.0,86.0,43.0,1732.0,93.0,61.0,59.0,76.0,41.0,54.0,5.5
Jack Hinshelwood,19,England,Brighton & Hove Albion,16.0,1218.0,3.0,0.0,Midfield,right,182.0,66.0,82.0,41.0,1842.0,63.0,62.0,66.0,67.0,63.0,64.0,2.1
Wilfried Gnonto,20,Italy,Leeds United,16.0,1936.0,5.0,5.0,Attack,right,170.0,74.0,85.0,53.0,1836.0,87.0,72.0,65.0,79.0,30.0,66.0,9.0
Eli Junior Kroupi,18,France,FC Lorient,15.0,1084.0,5.0,3.0,Attack,right,179.0,67.0,81.0,53.0,1735.0,71.0,61.0,65.0,72.0,45.0,53.0,2.3
Antonio Nusa,19,Norway,RB Leipzig,15.0,1947.0,5.0,5.0,Attack,right,180.0,72.0,86.0,59.0,1848.0,88.0,64.0,65.0,79.0,41.0,59.0,5.5
Eliesse Ben Seghir,19,Morocco,AS Monaco,15.0,1609.0,6.0,5.0,Midfield,right,178.0,73.0,85.0,39.0,1761.0,77.0,73.0,65.0,76.0,28.0,54.0,7.0
Valentín Carboni,19,Argentina,Olympique Marseille,15.0,1213.0,2.0,4.0,Midfield,left,185.0,64.0,84.0,52.0,1669.0,67.0,51.0,65.0,66.0,45.0,53.0,1.6
Carlos Alcaraz,21,Argentina,Southampton FC,15.0,1714.0,5.0,5.0,Midfield,right,183.0,73.0,84.0,48.0,1982.0,82.0,71.0,71.0,79.0,50.0,68.0,6.5
Malick Fofana,19,Belgium,Olympique Lyon,15.0,2714.0,6.0,8.0,Attack,right,169.0,71.0,85.0,50.0,1700.0,87.0,60.0,64.0,78.0,35.0,43.0,4.4
Chadi Riad,21,Morocco,Crystal Palace,15.0,2315.0,0.0,0.0,Defender,left,187.0,69.0,81.0,49.0,1540.0,53.0,32.0,54.0,53.0,70.0,61.0,3.2
Carney Chukwuemeka,20,England,Chelsea FC,15.0,928.0,2.0,2.0,Midfield,right,187.0,69.0,82.0,54.0,1773.0,66.0,62.0,66.0,73.0,50.0,61.0,3.3
Aaron Ramsey,21,England,Burnley FC,15.0,23507.0,64.0,62.0,Midfield,right,178.0,70.0,82.0,56.0,1799.0,73.0,63.0,67.0,72.0,50.0,60.0,3.8
Tommaso Baldanzi,21,Italy,AS Roma,15.0,3216.0,6.0,0.0,Midfield,left,170.0,77.0,87.0,50.0,1890.0,78.0,72.0,74.0,81.0,41.0,50.0,23.0
Giannis Konstantelias,21,Greece,PAOK Thessaloniki,15.0,4347.0,14.0,11.0,Midfield,both,178.0,73.0,83.0,43.0,1803.0,75.0,65.0,72.0,77.0,37.0,54.0,6.5
Conor Bradley,21,Northern Ireland,Liverpool FC,15.0,1505.0,1.0,6.0,Defender,right,181.0,74.0,84.0,49.0,1904.0,82.0,59.0,66.0,72.0,68.0,72.0,8.5
Fabio Miretti,21,Italy,Juventus FC,15.0,3103.0,2.0,5.0,Midfield,right,180.0,75.0,88.0,52.0,2033.0,77.0,60.0,75.0,78.0,66.0,72.0,13.5
Elliot Anderson,21,Scotland,Nottingham Forest,15.0,1763.0,0.0,3.0,Midfield,right,179.0,74.0,82.0,40.0,2016.0,73.0,66.0,71.0,78.0,67.0,76.0,9.0
Victor Kristiansen,21,Denmark,Leicester City,15.0,7686.0,1.0,10.0,Defender,left,181.0,74.0,80.0,46.0,1912.0,74.0,55.0,64.0,72.0,71.0,75.0,6.0
Giovanni Fabbian,21,Italy,Bologna FC 1909,14.0,1263.0,5.0,2.0,Midfield,right,186.0,72.0,83.0,38.0,1942.0,71.0,73.0,70.0,73.0,60.0,63.0,5.0
Valentín Barco,20,Argentina,Brighton & Hove Albion,13.0,318.0,0.0,0.0,Defender,left,170.0,72.0,84.0,49.0,1887.0,76.0,47.0,73.0,77.0,66.0,58.0,5.0
Samuel Iling-Junior,20,England,Aston Villa,13.0,1545.0,2.0,4.0,Attack,left,182.0,73.0,87.0,45.0,1797.0,83.0,61.0,69.0,78.0,37.0,56.0,7.0
Ibrahim Osman,19,Ghana,Feyenoord Rotterdam,12.0,2025.0,5.0,5.0,Attack,right,179.0,66.0,84.0,49.0,1608.0,84.0,58.0,57.0,72.0,27.0,54.0,2.2
Abakar Sylla,21,Cote d'Ivoire,RC Strasbourg Alsace,12.0,3569.0,3.0,0.0,Defender,left,188.0,72.0,82.0,55.0,1699.0,71.0,30.0,56.0,68.0,70.0,77.0,4.8
Patrick Dorgu,19,Denmark,US Lecce,12.0,1639.0,2.0,1.0,Defender,left,185.0,65.0,83.0,43.0,1673.0,80.0,50.0,54.0,67.0,57.0,53.0,1.7
Semih Kılıçsoy,19,Türkiye,Besiktas JK,12.0,1806.0,12.0,3.0,Attack,right,178.0,68.0,84.0,36.0,1676.0,78.0,69.0,54.0,70.0,31.0,70.0,3.0
Santiago Castro,19,Argentina,Bologna FC 1909,12.0,237.0,1.0,1.0,Attack,right,179.0,71.0,81.0,59.0,1809.0,82.0,71.0,56.0,71.0,37.0,68.0,4.0
El Chadaille Bitshiabu,19,France,RB Leipzig,12.0,656.0,0.0,0.0,Defender,left,196.0,68.0,83.0,55.0,1504.0,37.0,36.0,55.0,51.0,67.0,77.0,2.6
David Datro Fofana,21,Cote d'Ivoire,Chelsea FC,12.0,2499.0,8.0,3.0,Attack,right,180.0,72.0,83.0,54.0,1745.0,86.0,66.0,58.0,76.0,22.0,72.0,5.0
Ricardo Pepi,21,United States,PSV Eindhoven,12.0,3895.0,22.0,6.0,Attack,right,185.0,73.0,83.0,54.0,1792.0,71.0,74.0,57.0,69.0,41.0,71.0,6.5
James McAtee,21,England,Manchester City,12.0,1945.0,5.0,4.0,Midfield,left,180.0,70.0,80.0,45.0,1721.0,72.0,63.0,66.0,73.0,41.0,60.0,3.5
Emanuel Emegha,21,Netherlands,RC Strasbourg Alsace,12.0,3525.0,11.0,2.0,Attack,right,195.0,72.0,82.0,49.0,1724.0,81.0,71.0,54.0,69.0,30.0,74.0,5.0
Aster Vranckx,21,Belgium,VfL Wolfsburg,12.0,5348.0,7.0,5.0,Midfield,right,183.0,74.0,81.0,55.0,1993.0,61.0,66.0,71.0,77.0,69.0,76.0,8.5
